X,Y,orbit_index,weight_num
10532,8000,15,20854790586
10532,10282,15,20854790586
4000,7750,16,20996116043
4000,10532,16,20996116043
7750,4000,16,20996116043
7750,14282,16,20996116043
10532,4000,16,20996116043
10532,14282,16,20996116043
14282,7750,16,20996116043
14282,10532,16,20996116043
3750,8000,17,96115558852
3750,10282,17,96115558852
8000,3750,17,96115558852
8000,14532,17,96115558852
10282,3750,17,96115558852
10282,14532,17,96115558852
14532,8000,17,96115558852
14532,10282,17,96115558852
5250,7000,18,12589960964
5250,11282,18,12589960964
7000,5250,18,12589960964
7000,13032,18,12589960964
11282,5250,18,12589960964
11282,13032,18,12589960964
13032,7000,18,12589960964
13032,11282,18,12589960964
4000,5750,19,29797751019
4000,12532,19,29797751019
5750,4000,19,29797751019
5750,14282,19,29797751019
12532,4000,19,29797751019
12532,14282,19,29797751019
14282,5750,19,29797751019
14282,12532,19,29797751019
7100,8000,20,1841249672
7100,10282,20,1841249672
8000,7100,20,1841249672
8000,11182,20,1841249672
10282,7100,20,1841249672
10282,11182,20,1841249672
11182,8000,20,1841249672
11182,10282,20,1841249672
6050,7600,21,18547915853
6050,10682,21,18547915853
7600,6050,21,18547915853
7600,12232,21,18547915853
10682,6050,21,18547915853
10682,12232,21,18547915853
12232,7600,21,18547915853
12232,10682,21,18547915853
4000,7900,23,67167830832
4000,10382,23,67167830832
7900,4000,23,67167830832
7900,14282,23,67167830832
10382,4000,23,67167830832
10382,14282,23,67167830832
14282,7900,23,67167830832
14282,10382,23,67167830832
5850,7550,24,21580293739
5850,10732,24,21580293739
7550,5850,24,21580293739
7550,12432,24,21580293739
10732,5850,24,21580293739
10732,12432,24,21580293739
12432,7550,24,21580293739
12432,10732,24,21580293739
6800,6850,25,39008992348
6800,11432,25,39008992348
6850,6800,25,39008992348
6850,11482,25,39008992348
11432,6800,25,39008992348
11432,11482,25,39008992348
11482,6850,25,39008992348
11482,11432,25,39008992348
6300,7250,26,27372323651
6300,11032,26,27372323651
7250,6300,26,27372323651
7250,11982,26,27372323651
11032,6300,26,27372323651
11032,11982,26,27372323651
11982,7250,26,27372323651
11982,11032,26,27372323651
4000,6600,27,16982619206
4000,11682,27,16982619206
6600,4000,27,16982619206
6600,14282,27,16982619206
11682,4000,27,16982619206
11682,14282,27,16982619206
14282,6600,27,16982619206
14282,11682,27,16982619206
3900,4000,28,52815777065
3900,14282,28,52815777065
4000,3900,28,52815777065
4000,14382,28,52815777065
14282,3900,28,52815777065
14282,14382,28,52815777065
14382,4000,28,52815777065
14382,14282,28,52815777065
3850,7250,29,11645132394
3850,11032,29,11645132394
7250,3850,29,11645132394
7250,14432,29,11645132394
11032,3850,29,11645132394
11032,14432,29,11645132394
14432,7250,29,11645132394
14432,11032,29,11645132394
3950,7600,30,9880908445
3950,10682,30,9880908445
7600,3950,30,9880908445
7600,14332,30,9880908445
10682,3950,30,9880908445
10682,14332,30,9880908445
14332,7600,30,9880908445
14332,10682,30,9880908445
3750,7750,31,20070894020
3750,10532,31,20070894020
7750,3750,31,20070894020
7750,14532,31,20070894020
10532,3750,31,20070894020
10532,14532,31,20070894020
14532,7750,31,20070894020
14532,10532,31,20070894020
3650,6550,32,130129935412
3650,11732,32,130129935412
6550,3650,32,130129935412
6550,14632,32,130129935412
11732,3650,32,130129935412
11732,14632,32,130129935412
14632,6550,32,130129935412
14632,11732,32,130129935412
3250,5550,33,8210576722
3250,12732,33,8210576722
5550,3250,33,8210576722
5550,15032,33,8210576722
12732,3250,33,8210576722
12732,15032,33,8210576722
15032,5550,33,8210576722
15032,12732,33,8210576722
7300,8000,34,7432708255
7300,10282,34,7432708255
8000,7300,34,7432708255
8000,10982,34,7432708255
10282,7300,34,7432708255
10282,10982,34,7432708255
10982,8000,34,7432708255
10982,10282,34,7432708255
7150,9050,36,17278056999
7150,9232,36,17278056999
9050,7150,36,17278056999
9050,11132,36,17278056999
9232,7150,36,17278056999
9232,11132,36,17278056999
11132,9050,36,17278056999
11132,9232,36,17278056999
2750,4000,38,65698253107
2750,14282,38,65698253107
4000,2750,38,65698253107
4000,15532,38,65698253107
14282,2750,38,65698253107
14282,15532,38,65698253107
15532,4000,38,65698253107
15532,14282,38,65698253107
2850,7950,40,15513041481
2850,10332,40,15513041481
7950,2850,40,15513041481
7950,15432,40,15513041481
10332,2850,40,15513041481
10332,15432,40,15513041481
15432,7950,40,15513041481
15432,10332,40,15513041481
3050,7900,41,26363195346
3050,10382,41,26363195346
7900,3050,41,26363195346
7900,15232,41,26363195346
10382,3050,41,26363195346
10382,15232,41,26363195346
15232,7900,41,26363195346
15232,10382,41,26363195346
3200,7700,42,32679182844
3200,10582,42,32679182844
7700,3200,42,32679182844
7700,15082,42,32679182844
10582,3200,42,32679182844
10582,15082,42,32679182844
15082,7700,42,32679182844
15082,10582,42,32679182844
3250,7900,43,61211580860
3250,10382,43,61211580860
7900,3250,43,61211580860
7900,15032,43,61211580860
10382,3250,43,61211580860
10382,15032,43,61211580860
15032,7900,43,61211580860
15032,10382,43,61211580860
3700,3750,44,12238808914
3700,14532,44,12238808914
3750,3700,44,12238808914
3750,14582,44,12238808914
14532,3700,44,12238808914
14532,14582,44,12238808914
14582,3750,44,12238808914
14582,14532,44,12238808914
7900,7950,45,1841249672
7900,10332,45,1841249672
7950,7900,45,1841249672
7950,10382,45,1841249672
10332,7900,45,1841249672
10332,10382,45,1841249672
10382,7950,45,1841249672
10382,10332,45,1841249672
4000,7650,46,29797751019
4000,10632,46,29797751019
7650,4000,46,29797751019
7650,14282,46,29797751019
10632,4000,46,29797751019
10632,14282,46,29797751019
14282,7650,46,29797751019
14282,10632,46,29797751019
3600,6350,47,130129935412
3600,11932,47,130129935412
6350,3600,47,130129935412
6350,14682,47,130129935412
11932,3600,47,130129935412
11932,14682,47,130129935412
14682,6350,47,130129935412
14682,11932,47,130129935412
4000,6300,48,39250238130
4000,11982,48,39250238130
6300,4000,48,39250238130
6300,14282,48,39250238130
11982,4000,48,39250238130
11982,14282,48,39250238130
14282,6300,48,39250238130
14282,11982,48,39250238130
7750,7850,49,5367079304
7750,10432,49,5367079304
7850,7750,49,5367079304
7850,10532,49,5367079304
10432,7750,49,5367079304
10432,10532,49,5367079304
10532,7850,49,5367079304
10532,10432,49,5367079304
2350,8000,50,29444711381
2350,10282,50,29444711381
8000,2350,50,29444711381
8000,15932,50,29444711381
10282,2350,50,29444711381
10282,15932,50,29444711381
15932,8000,50,29444711381
15932,10282,50,29444711381
6400,7200,51,30116874982
6400,11082,51,30116874982
7200,6400,51,30116874982
7200,11882,51,30116874982
11082,6400,51,30116874982
11082,11882,51,30116874982
11882,7200,51,30116874982
11882,11082,51,30116874982
6650,7850,52,10865498121
6650,10432,52,10865498121
7850,6650,52,10865498121
7850,11632,52,10865498121
10432,6650,52,10865498121
10432,11632,52,10865498121
11632,7850,52,10865498121
11632,10432,52,10865498121
6500,7800,53,10900144473
6500,10482,53,10900144473
7800,6500,53,10900144473
7800,11782,53,10900144473
10482,6500,53,10900144473
10482,11782,53,10900144473
11782,7800,53,10900144473
11782,10482,53,10900144473
6750,7750,55,24268034793
6750,10532,55,24268034793
7750,6750,55,24268034793
7750,11532,55,24268034793
10532,6750,55,24268034793
10532,11532,55,24268034793
11532,7750,55,24268034793
11532,10532,55,24268034793
3350,5650,56,22703712385
3350,12632,56,22703712385
5650,3350,56,22703712385
5650,14932,56,22703712385
12632,3350,56,22703712385
12632,14932,56,22703712385
14932,5650,56,22703712385
14932,12632,56,22703712385
7700,9100,57,10900144473
7700,9182,57,10900144473
9100,7700,57,10900144473
9100,10582,57,10900144473
9182,7700,57,10900144473
9182,10582,57,10900144473
10582,9100,57,10900144473
10582,9182,57,10900144473
3700,6700,58,16982619206
3700,11582,58,16982619206
6700,3700,58,16982619206
6700,14582,58,16982619206
11582,3700,58,16982619206
11582,14582,58,16982619206
14582,6700,58,16982619206
14582,11582,58,16982619206
7650,8900,60,11744200260
7650,9382,60,11744200260
8900,7650,60,11744200260
8900,10632,60,11744200260
9382,7650,60,11744200260
9382,10632,60,11744200260
10632,8900,60,11744200260
10632,9382,60,11744200260
7450,8850,61,10493826173
7450,9432,61,10493826173
8850,7450,61,10493826173
8850,10832,61,10493826173
9432,7450,61,10493826173
9432,10832,61,10493826173
10832,8850,61,10493826173
10832,9432,61,10493826173
6900,7650,62,11645132394
6900,10632,62,11645132394
7650,6900,62,11645132394
7650,11382,62,11645132394
10632,6900,62,11645132394
10632,11382,62,11645132394
11382,7650,62,11645132394
11382,10632,62,11645132394
3850,7900,63,9726856999
3850,10382,63,9726856999
7900,3850,63,9726856999
7900,14432,63,9726856999
10382,3850,63,9726856999
10382,14432,63,9726856999
14432,7900,63,9726856999
14432,10382,63,9726856999
7550,7800,64,18789161635
7550,10482,64,18789161635
7800,7550,64,18789161635
7800,10732,64,18789161635
10482,7550,64,18789161635
10482,10732,64,18789161635
10732,7800,64,18789161635
10732,10482,64,18789161635
7600,8600,65,11115207598
7600,9682,65,11115207598
8600,7600,65,11115207598
8600,10682,65,11115207598
9682,7600,65,11115207598
9682,10682,65,11115207598
10682,8600,65,11115207598
10682,9682,65,11115207598
3950,7400,66,26363195346
3950,10882,66,26363195346
7400,3950,66,26363195346
7400,14332,66,26363195346
10882,3950,66,26363195346
10882,14332,66,26363195346
14332,7400,66,26363195346
14332,10882,66,26363195346
1400,7900,67,15513041481
1400,10382,67,15513041481
7900,1400,67,15513041481
7900,16882,67,15513041481
10382,1400,67,15513041481
10382,16882,67,15513041481
16882,7900,67,15513041481
16882,10382,67,15513041481
3850,7100,68,39250238130
3850,11182,68,39250238130
7100,3850,68,39250238130
7100,14432,68,39250238130
11182,3850,68,39250238130
11182,14432,68,39250238130
14432,7100,68,39250238130
14432,11182,68,39250238130
5150,7300,69,2923080517
5150,10982,69,2923080517
7300,5150,69,2923080517
7300,13132,69,2923080517
10982,5150,69,2923080517
10982,13132,69,2923080517
13132,7300,69,2923080517
13132,10982,69,2923080517
3700,6800,70,30914289106
3700,11482,70,30914289106
6800,3700,70,30914289106
6800,14582,70,30914289106
11482,3700,70,30914289106
11482,14582,70,30914289106
14582,6800,70,30914289106
14582,11482,70,30914289106
3950,8900,71,35258783437
3950,9382,71,35258783437
8900,3950,71,35258783437
8900,14332,71,35258783437
9382,3950,71,35258783437
9382,14332,71,35258783437
14332,8900,71,35258783437
14332,9382,71,35258783437
6950,7900,72,34392746396
6950,10382,72,34392746396
7900,6950,72,34392746396
7900,11332,72,34392746396
10382,6950,72,34392746396
10382,11332,72,34392746396
11332,7900,72,34392746396
11332,10382,72,34392746396
6300,7600,73,21580293739
6300,10682,73,21580293739
7600,6300,73,21580293739
7600,11982,73,21580293739
10682,6300,73,21580293739
10682,11982,73,21580293739
11982,7600,73,21580293739
11982,10682,73,21580293739
5750,7600,74,24861406865
5750,10682,74,24861406865
7600,5750,74,24861406865
7600,12532,74,24861406865
10682,5750,74,24861406865
10682,12532,74,24861406865
12532,7600,74,24861406865
12532,10682,74,24861406865
5950,7450,76,31817529876
5950,10832,76,31817529876
7450,5950,76,31817529876
7450,12332,76,31817529876
10832,5950,76,31817529876
10832,12332,76,31817529876
12332,7450,76,31817529876
12332,10832,76,31817529876
7600,8800,77,11645132394
7600,9482,77,11645132394
8800,7600,77,11645132394
8800,10682,77,11645132394
9482,7600,77,11645132394
9482,10682,77,11645132394
10682,8800,77,11645132394
10682,9482,77,11645132394
6600,7600,79,13961262392
6600,10682,79,13961262392
7600,6600,79,13961262392
7600,11682,79,13961262392
10682,6600,79,13961262392
10682,11682,79,13961262392
11682,7600,79,13961262392
11682,10682,79,13961262392
5650,7300,81,53530746265
5650,10982,81,53530746265
7300,5650,81,53530746265
7300,12632,81,53530746265
10982,5650,81,53530746265
10982,12632,81,53530746265
12632,7300,81,53530746265
12632,10982,81,53530746265
